,,,,,,Scoring,,,,,Goals,,,,Assists,,,Shots,,,Ice Time,,Faceoffs,,,,,,,
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
46,Mark Stone,32,VEG,RW,42,14,35,49,18,6,10,4,0,2,17,17,1,83,16.9,146,831:31:00,19:48,3,6,33.3,23,25,27,51,
47,Mikael Granlund,32,2TM,C,56,15,34,49,-4,22,9,5,1,1,24,10,0,131,11.5,247,1154:02:00,20:36,331,354,48.3,40,42,14,61,
48,Mikael Granlund,32,SJS,C,52,15,30,45,-8,20,9,5,1,1,20,10,0,126,11.9,237,1084:31:00,20:51,326,348,48.4,37,37,13,57,
49,Mikael Granlund,32,DAL,C,4,0,4,4,4,2,0,0,0,0,4,0,0,5,0,10,69:31:00,17:23,5,6,45.5,3,5,1,4,
50,Matt Boldy,23,MIN,LW,56,20,28,48,6,35,14,6,0,8,21,7,0,192,10.4,377,1111:22:00,19:51,44,51,46.3,40,28,33,50,
51,Nikolaj Ehlers,28,WPG,LW,47,17,31,48,12,6,13,4,0,3,17,14,0,119,14.3,230,740:45:00,15:46,2,8,20,21,27,11,37,
52,Rickard Rakell,31,PIT,RW,56,25,23,48,-14,10,20,5,0,1,16,7,0,146,17.1,281,1074:37:00,19:11,11,11,50,66,93,14,52,
53,Shea Theodore,29,VEG,D,55,7,41,48,10,20,5,2,0,2,24,17,0,111,6.3,282,1212:25:00,22:03,0,0,,69,5,27,86,
54,Tage Thompson,27,BUF,C,48,26,22,48,4,15,22,4,0,1,15,7,0,148,17.6,318,898:23:00,18:43,202,283,41.6,23,43,15,27,
55,Wyatt Johnston,21,DAL,C,55,16,31,47,12,12,11,3,2,2,21,10,0,148,10.8,284,1057:33:00,19:14,308,311,49.8,27,32,22,35,
56,Marco Rossi,23,MIN,C,56,19,28,47,15,20,14,5,0,1,23,5,0,98,19.4,188,1018:34:00,18:11,320,351,47.7,26,36,13,37,
57,Alex DeBrincat,27,DET,RW,55,24,22,46,-11,12,15,9,0,4,10,12,0,152,15.8,278,963:04:00,17:31,23,22,51.1,22,17,22,43,
58,Adrian Kempe,28,LAK,LW,53,25,21,46,14,22,20,4,1,3,16,5,0,163,15.3,330,1031:08:00,19:27,7,9,43.8,25,62,9,48,
59,Josh Morrissey,29,WPG,D,56,7,39,46,8,22,6,1,0,1,22,17,0,114,6.1,278,1339:09:00,23:55,0,0,,84,33,24,55,
60,Aliaksei Protas,24,WSH,C,55,22,24,46,29,16,21,0,1,5,22,1,1,99,22.2,182,909:28:00,16:32,6,15,28.6,28,13,17,43,
61,Drake Batherson,26,OTT,C,56,16,29,45,-8,14,7,9,0,2,15,14,0,124,12.9,235,1034:29:00,18:28,9,10,47.4,20,83,17,40,
62,Seth Jarvis,22,CAR,C,49,22,23,45,5,12,13,6,3,1,14,7,2,129,17.1,249,949:09:00,19:22,39,72,35.1,36,72,20,45,
63,Anže Kopitar,37,LAK,C,53,13,32,45,11,2,10,3,0,5,21,10,1,71,18.3,141,1024:23:00,19:20,592,459,56.3,40,17,22,43,
